SMILES,MoleculeName
CC(C)(C)c1ccnc(-c2[c-]cc(F)cc2F)c1.CC(C)(C)c1ccnc(-c2[c-]cc(F)cc2F)c1.CC(C)(C)c1ccnc(-c2[c-]cc(F)cc2F)c1.[Ir+4],Ir(4-tBu-4'6'dFppy)3
CC(C)(C)c1ccnc(-c2[c-]cc(F)cc2)c1.CC(C)(C)c1ccnc(-c2[c-]cc(F)cc2)c1.CC(C)(C)c1ccnc(-c2ccc(F)cc2)c1.[CH3-].[Ir+4],Ir(4-tBu-4'-F-ppy)3
CC(C)(C)c1c[c-]c(-c2ccccn2)cc1.CC(C)(C)c1c[c-]c(-c2ccccn2)cc1.CC(C)(C)c1c[c-]c(-c2ccccn2)cc1.[Ir+4],Ir(4-tBuppy)3
[Ir+4].[c-]1ccccc1-c1cc(-c2ccc([Si](c3ccccc3)(c3ccccc3)c3ccccc3)cc2)ccn1.[c-]1ccccc1-c1cc(-c2ccc([Si](c3ccccc3)(c3ccccc3)c3ccccc3)cc2)ccn1.c1ccc(-c2ccccn2)nc1,Ir(4'-TPSppy)2bpy+
[Ir+4].[c-]1ccc(-c2ccc([Si](c3ccccc3)(c3ccccc3)c3ccccc3)cc2)cc1-c1ccccn1.[c-]1ccc(-c2ccc([Si](c3ccccc3)(c3ccccc3)c3ccccc3)cc2)cc1-c1ccccn1.c1ccc(-c2ccccn2)nc1,Ir(4-TPSppy)2bpy+
COc1cc[c-]c(-c2ccccn2)c1.COc1cc[c-]c(-c2ccccn2)c1.COc1cc[c-]c(-c2ccccn2)c1.[Ir+4],Ir(5-MeO-ppy)3
Cc1c[c-]c(-c2ccccn2)s1.Cc1c[c-]c(-c2ccccn2)s1.Cc1c[c-]c(-c2ccccn2)s1.[Ir+4],Ir(5m-thpy)3
CC(C)(C)c1cc[c-]c(-c2ccccn2)c1.CC(C)(C)c1cc[c-]c(-c2ccccn2)c1.CC(C)(C)c1cc[c-]c(-c2ccccn2)c1.[Ir+4],Ir(5-tBuppy)3
Brc1ccc2nc(-c3[c-]cccc3)cc(-c3ccccc3)c2c1.Brc1ccc2nc(-c3[c-]cccc3)cc(-c3ccccc3)c2c1.CC(=O)/C=C(/C)[O-].[Ir+4],"Ir(6-Br-2,4-dpq)2(acac)"
FC(F)(F)c1ccc[c-]c1-c1ccccn1.FC(F)(F)c1ccc[c-]c1-c1ccccn1.O=S(=O)([O-])c1ccccn1.[Ir+4],Ir(6-CFppy)2(PySO3)
CC(=O)/C=C(/C)[O-].[Ir+4].[c-]1ccccc1-c1nc2ccccc2o1.[c-]1ccccc1-c1nc2ccccc2o1,Ir(bo)2acac
CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C.[Ir+4].[c-]1ccccc1-c1nc2ccccc2o1.[c-]1ccccc1-c1nc2ccccc2o1,Ir(bo)2dpm
[Ir+4].c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,Ir(bpy)33+
Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccnc(-c2cc(C)ccn2)c1.[Ir+4],Ir(Br-mppy)2(4-4'dmbpy)+
Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccnc2c1ccc1cccnc12.[Ir+4],Ir(Br-mppy)2(4-Mephen)+
Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccc(-c2ccc(C)cn2)nc1.[Ir+4],"Ir(Br-mppy)2(5,5'dmbpy)+"
Cc1cc2cccnc2c2ncccc12.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.[Ir+4],Ir(Br-mppy)2(5-Mephen)+
Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.[Ir+4].c1ccc(-c2ccccn2)nc1,Ir(Br-mppy)2(bpy)+
C(=C\P(c1ccccc1)c1ccccc1)\P(c1ccccc1)c1ccccc1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.[Ir+4],Ir(Br-mppy)2(dppe)+
CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.[Ir+4],Ir(Br-mppy)2(dtbbpy)+
Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1cnc2c(ccc3c(C)c(C)cnc32)c1C.[Ir+4],Ir(Br-mppy)2(Me4phen)+
Cc1ccc(-c2[c-]cc(Br)cc2)nc1.Cc1ccc(-c2[c-]cc(Br)cc2)nc1.[Ir+4].c1cnc2c(c1)ccc1cccnc12,Ir(Br-mppy)2(phen)+
CC(=O)/C=C(/C)[O-].[Ir+4].[c-]1ccc2ccccc2c1-c1nc2ccccc2s1.[c-]1ccc2ccccc2c1-c1nc2ccccc2s1,Ir(bsn)2acac
CC(C)(C)C(=O)/C=C(\[O-])C(C)(C)C.[Ir+4].[c-]1ccc2ccccc2c1-c1nc2ccccc2s1.[c-]1ccc2ccccc2c1-c1nc2ccccc2s1,Ir(bsn)2dpm
CC(=O)/C=C(/C)[O-].[Ir+4].[c-]1ccccc1-c1nc2ccccc2s1.[c-]1ccccc1-c1nc2ccccc2s1,Ir(bt)2acac
[C-]#[N+]c1c(C(C)C)cccc1C(C)C.[C-]#[N+]c1c(C(C)C)cccc1C(C)C.[Ir+4].[c-]1ccccc1-c1nc2ccccc2s1.[c-]1ccccc1-c1nc2ccccc2s1,Ir(bt)2-CNArdipp+
